prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Keeping Better Track From Factory to Checkout Using radio scanners to wirelessly identify consumer products is simple in concept but dauntingly complex in reality.The main topic of the news article is the use of radio scanners to track consumer products.I would categorize this article as: **Tech**,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Sun #39;s OpenSolaris Plans Start to Emerge Sun Microsystems on Friday will unveil more of its plans for OpenSolaris, the open-source project for the Solaris operating system.The main topic of the news article is: Sun Microsystems' plans for OpenSolaris, an open-source project for the Solaris operating system.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","FERC faulted for failing to order refunds for California power &lt;b&gt;...&lt;/b&gt; The Federal Energy Regulatory Commission, which has refused to approve California #39;s demand for \$2.8 billion in refunds from power companies found to have gouged the state during the 2000-2001 energy crisis, has been ordered to rethink its position and The main topic of the news article is: Federal Energy Regulatory Commission's decision on California's demand for refunds from power companies.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",General Mills to Make All Cereals Whole Grain By JOSHUA FREED     MINNEAPOLIS (AP) -- The Trix Rabbit and that Lucky Charms leprechaun are going on a whole-grain diet. General Mills announced Thursday that it will convert all of its breakfast cereals to whole grain...The main topic of the news article is: General Mills' decision to make all its cereals whole grain.Category: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","China: commercial flights in 20 years BEIJING: China can expect to see the first commercial space flights in 20 years, the head of the country #39;s space program was quoted as saying by state media.The main topic of the news article is: China's prediction of commercial space flights in 20 years.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mystery behind the origin of cosmic rays unraveled: World News: Washington, Nov 4 : An international team of astronomers has suceeded solving the 100 yearl old mystery about the origin of the cosmic rays by producing the first ever image of an astronomical object using high energy gamma rays.The main topic of the news article is: The origin of cosmic rays being solved by astronomers. Category: World",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Once a Palace, Now Saddam Hussein's Prison Saddam Hussein lives in an air-conditioned 10-by-13 foot cell on the grounds of one of his former palaces, tending plants and proclaiming himself Iraq's lawful ruler.The main topic of the news article is: Saddam Hussein's imprisonment and living conditions.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Uh oh! Franco-American is no more Here's one for nostalgia buffs: the Franco-American brand -- best known for SpaghettiOs -- is no more.The main topic of the news article is the discontinuation of the Franco-American brand.I would categorize this article as: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Ryanair may face Belgian courts Budget airline Ryanair is obliged to be taken to court under EU law if it fails to pay back illegal state aid for flying to Belgium's Charleroi airport.The main topic of the news article is: Ryanair facing court over unpaid state aidCategory: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Conferees Ban Lease of Boeing Tankers  WASHINGTON (Reuters) - House and Senate conferees agreed  late on Thursday to ban the leasing of aerial refueling  aircraft as part of a final deal on a \$422 billion defense  authorization bill, killing a proposed \$23.5 billion Air Force  deal with Boeing Co. &lt;A HREF=""""http://www.investor.reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""""&gt;BA.N&lt;/A&gt;, congressional sources said.The main topic of the news article is: A ban on the leasing of aerial refueling aircraft, specifically a proposed deal between the Air Force and Boeing Co.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Najaf clashes as truce talks fail Fighting resumes in the Iraqi city of Najaf between US troops and Shia militias after an abortive peace bid.The main topic of the news article is: Violence and conflict in Najaf, IraqCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Big surprise by Indian board Calcutta, India - The Indian cricket board made a surprise move on Thursday by granting television production and distribution rights for the upcoming Test series against Australia, even as the Supreme Court was hearing a petition by another network The main topic of the news article is: Indian cricket board grants TV rights for Test series against Australia.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mets to revamp front office again NEW YORK - The New York Mets are revamping their front office for the second straight offseason, hiring Omar Minaya from the Montreal Expos to become the head of baseball operations.The main topic of the news article is: The New York Mets hiring a new head of baseball operations.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Andre gone with the wind He was finally out of the wicked wind tunnel known as Arthur Ashe Stadium, out of the gale that combined with Roger Federer to blow him from the quarterfinals of the US Open.The main topic of the news article is: US Open tennis tournament, specifically a match between Andre and Roger Federer.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Honor System Used for Flu Shots at U.S. Chain Stores By GRETCHEN PARKER     BALTIMORE (AP) -- At the Walgreens flu shot clinic, the honor system is in place.    If you tell nurses there you have a chronic heart problem, you can get a shot...The main topic of the news article is: Flu shots being administered at chain stores using an honor system for health information.Category: Business",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Immelt: Joy At GE As Q3 Earnings Jump 11 The news is often sobering these days. But they #39;re smiling at General Electric (nyse: GE - news - people ), where the company posted third-quarter earnings that are up 11, with revenue rising 15.The main topic of the news article is: General Electric's Q3 earnings report.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Syria and Lebanon reject UN  #39;interference #39; Syria and Lebanon have rejected outright a renewed United Nations Security Council call for Damascus to pull its troops out of its tiny neighbour, calling the international body #39;s decision  quot;interference quot;.The main topic of the news article is: Rejection of UN's call for Syria to withdraw troops from Lebanon.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",UN war crime tribunal calls first witness in Milosevic defense &lt;b&gt;...&lt;/b&gt; The International Criminal Tribunal for Former Yugoslavia (ICTY) Tuesday called the first witness in the defense case of former Yugoslav President Slobodan Milosevic The main topic of the news article is: The trial of Slobodan Milosevic at the UN war crime tribunal.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","MechAssault 2 jacks gold Mech shooter off stomps off to production, and is on schedule for its uncommon December 28 release. Microsoft today announced that MechAssault 2: Lone Wolf has achieved gold status and will be ready to hit Xboxes and light up Xbox Live December 28.The main topic of the news article is: MechAssault 2 achieving gold status and its upcoming release.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Minister offers apology for touchy remark Minister of Foreign Affairs Mark Chen () yesterday apologized for the words used to condemn a comment by his Singaporean counterpart who warned against Taiwan independence at a United Nations meeting last week.The main topic of the news article is: Apology from Taiwan's Minister of Foreign Affairs for comments made regarding Singapore's stance on Taiwan independence.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","NASA Develops Robust Artificial Intelligence for Planetary Rovers NASA is planning to add a strong dose of artificial intelligence (AI) to planetary rovers to make them much more self-reliant, capable of making basic decisions during a mission. Scientists are developing very complex AI software that enables a higher level of robotic intelligence.The main topic of the news article is: NASA developing artificial intelligence for planetary rovers.Category: Tech",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Stem Cell Companies Fall Amid Biotech Rise While most biotechnology stocks rose Wednesday, shares of major stem cell researchers fell sharply as George W. Bush #39;s victory in the presidential election was confirmed.The main topic of the news article is: The impact of the presidential election on stem cell company stocks.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Americans playing it cool in the pool ATHENS  Michael Phelps might receive his last gold medal of the Athens Olympics in a way no one would envision. The main topic of the news article is: The Athens Olympics and Michael Phelps' potential last gold medal.Category: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mac users face rare virus The malware disables Mac OS X's built-in firewall, steals personal information and can destroy data.The main topic of the news article is: Malware targeting Mac computers.I would categorize this article as: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Bombs in Buenos Aires Kill One Bombs detonated at three banks in downtown Buenos Aires Wednesday resulting in the death of one security guard and in leaving another person injured.The main topic of the news article is: Bombings at banks in Buenos Aires result in casualties.Category: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Indonesia orders security clampdown after terror warnings JAKARTA, Indonesia Indonesia has ordered a nationwide security crackdown after warnings from Australia, Britain and New Zealand that terrorists plan to attack ahead of Christmas.The main topic of the news article is: Terror threat and security clampdown in Indonesia ahead of Christmas.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",San Diego Chargers Acquires Wide Out McCardell  SAN DIEGO (Sports Network) - The San Diego Chargers have  acquired wide receiver Keenan McCardell from Tampa Bay in  exchange for two picks in next year's draft. The deal was made  roughly an hour before the NFL's trading deadline on Tuesday.The main topic of the news article is: San Diego Chargers acquire new playerCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",England and India aim to buck trends (AFP) AFP - England cannot win a one-day international batting first while India coach John Wright reckons his team are having trouble chasing totals.The main topic of the news article is: Cricket teams' performance in one-day internationals.Category: Sports,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hurricane Ivan Threatens Barbados, East Caribbean  MIAMI (Reuters) - Powerful Hurricane Ivan, the latest in a  busy storm season, rushed over the Atlantic Ocean on Monday and  threatened the eastern Caribbean Windward Islands.The main topic of the news article is: Hurricane Ivan threatening the eastern Caribbean.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Henson plays for Cowboys, now will he start? Now Henson is waiting like everyone else to find out if he #39;ll soon be the starting quarterback. Coach Bill Parcells today said starter Vinny Testaverde is questionable because of a sore shoulder and back.The main topic of the news article is: Henson's potential start as quarterback for the Cowboys.I choose: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Schwab ex-CEO to get almost \$10M SAN FRANCISCO (CBS.MW) -- Charles Schwab Corp. is paying David Pottruck, ousted as chief executive officer in July, a lump-sum payment of \$6.The main topic of the news article is: ""Charles Schwab Corp. paying former CEO David Pottruck a lump-sum payment""Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Software piracy whistle-blowers get bigger rewards The BSA trade group ups its reward for information on U.K. companies that are using illegal software.The main topic of the news article is: Software piracy whistle-blower rewards increased.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Top-Seed Spadea Advances at Millennium (AP) AP - Top-seeded Vincent Spadea beat qualifier Hugo Armando 6-3, 1-6, 6-4 Friday night to reach the semifinals of the Millennium International Tennis Championships.The main topic of the news article is: Vincent Spadea advancing in the Millennium International Tennis Championships.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Sri Lanka spinners throttle South Africa Sri Lanka spinners Rangana Herath and Tillakaratne Dilshan shared six wickets to help bowl South Africa out for 191 in the third one-day international on Sunday.The main topic of the news article is: Sri Lanka beats South Africa in a cricket match.I choose: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Gibbs to Look at Offense Coach Joe Gibbs says he thoroughly evaluate the Redskins, particularly an offense that finished among the league's worst, now that the season is over for Washington.The main topic of the news article is: Evaluation of the Washington Redskins' offense after the end of the season.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Veerappan shot dead Coimbatore: The country #39;s most wanted forest brigand Veerappan, charged with abduction and murder of politicians and film stars, was on Monday night killed in a gunbattle with Tamil Nadu police in a thick forest about 150 km from here, ending three The main topic of the news article is: Death of notorious forest brigand VeerappanCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Unlikely Visionary Behind Private Race to Space SpaceShipOne visionary Peter Diamandis wasn't thinking about history as he stood in the Mojave desert and watched a small, shuttlecock-shaped craft glide back to Earth having nudged the edge of space. He just thought it looked beautiful.The main topic of the news article is: SpaceShipOne and its visionary Peter Diamandis.I would categorize this article as: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",First Look: MusicMatch Jukebox's Impressive Version 10 Free software helps organize large music collections.The main topic of the news article is: MusicMatch Jukebox Version 10Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hewitt in form ahead of US Open LONG ISLAND, New York -- Lleyton Hewitt continued his US Open preparations with a 6-1 6-4 win over Michael Llodra en route to the quarterfinals of the ATP Long Island Cup.The main topic of the news article is: Lleyton Hewitt's win in the ATP Long Island Cup.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",ING Reveals Improper Trading Case Details  NEW YORK (Reuters) - A U.S. unit of Dutch financial  services group ING Groep NV said on Wednesday a review of  improper trading in its mutual funds showed only isolated  incidents of impropriety.The main topic of the news article is: Improper trading case details revealed by INGCategory: Business,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",FTC Goes After Spyware Operations (NewsFactor) NewsFactor - The Federal Trade Committee has filed a complaint in federal court asking that two Internet advertising and software firms be shut down. The FTC made the filing last Thursday and will hold a press conference on the matter tomorrow.The main topic of the news article is: The Federal Trade Committee's action against spyware operations.Category: Tech,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Discus Champion Thrown Out of Games Hungarian Olympic discus champion Robert Fazekas will lose his gold medal and be expelled from the Games after breaking doping rules, the International Olympic Committee (IOC) said Tuesday.The main topic of the news article is: Doping scandal involving Hungarian Olympic discus champion Robert Fazekas.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Microsoft rules out PeopleSoft bid This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. Microsoft CEO Steve Ballmer has ruled out acting as the white knight for business software The main topic of the news article is: Microsoft's decision not to bid on PeopleSoft.Category: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","N. Korea Economic Sanctions 'One Option' -- Japan (Reuters) Reuters - Japanese Foreign Minister Nobutaka\Machimura said on Thursday economic sanctions against North\Korea were """"one option,"""" but added that care was needed in\deciding whether Tokyo should take such a step immediately.The main topic of the news article is: North Korea economic sanctions considered by Japan.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Chechnya goes to polls; man blows himself up in Grozny Moscow, Aug. 29 (PTI): An unidentified man blew himself up today outside a polling station in Grozny during presidential elections in war-torn Caucasian province of Chechnya.The main topic of the news article is: Explosion at a polling station during presidential elections in Chechnya.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Explosion marks first day of Iraq campaigns Violence marred Iraq #39;s first official day of parliamentary election campaigning Wednesday as interim Iraqi Prime Minister Ayad Allawi announced his candidacy for the Jan. 30 The main topic of the news article is the outbreak of violence on the first day of parliamentary election campaigning in Iraq.I choose: **World**,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Microsoft delays SP2 auto update Slowdown will give big companies more time to hunt down compatibility problems, the company says.The main topic of the news article is: Microsoft delaying the automatic update of Service Pack 2 (SP2) due to compatibility concerns. Category: Tech",1
