model_name,dataset,prompt,score,n_samples
meta-llama/Llama-3.3-70B-Instruct,agnews,"Classify the topic of the following news as ""World"", ""Sports"", ""Tech"" or ""Business"".",0.875,200
meta-llama/Llama-3.3-70B-Instruct,subj,"Please perform Subjectivity Classification task. Given the sentence, assign a label from ['subjective', 'objective']. Return label only without any other text.",0.605,200
meta-llama/Llama-3.3-70B-Instruct,subj,"Your task is to classify the comment ""subjective"" or ""objective"".",0.565,200
meta-llama/Llama-3.3-70B-Instruct,subj,"Given a sentence, classify it as either subjective or objective category.",0.555,200
meta-llama/Llama-3.3-70B-Instruct,subj,"Determine the category of a movie review based on a given text, subjective or objective.",0.55,200
meta-llama/Llama-3.3-70B-Instruct,subj,"Given a statement, classify it as expressing a subjective or objective opinion.",0.665,200
meta-llama/Llama-3.3-70B-Instruct,subj,evaluate each sentence as either objective or subjective.,0.53,200
meta-llama/Llama-3.3-70B-Instruct,subj,identify whether the given sentence was expressing an objective or a subjective opinion.,0.695,200
meta-llama/Llama-3.3-70B-Instruct,subj,evaluate each statement as either subjective or objective.,0.62,200
meta-llama/Llama-3.3-70B-Instruct,subj,"classify each sentence as either ""objective"" or ""subjective"".",0.545,200
meta-llama/Llama-3.3-70B-Instruct,subj,evaluate the given sentences and determine whether they are subjective or objective.,0.57,200
