prompt,seq,score
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Christian Conservatives Press Issues in Statehouses Energized by electoral wins, conservative Christians are pushing ahead state and local initiatives on controversial issues.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Conservative Christians pushing for state and local initiatives on controversial issues.Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Yukos to stop oil exports to China Russian oil giant Yukos has decided to halt two-thirds of its oil exports to China, raising the stakes in its yearlong legal battle with the authorities.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Yukos stopping oil exports to China due to a legal battle.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Big Lots Revises Quarterly, Year Views Big Lots Inc., the largest closeout retailer in the United States, said Wednesday that total sales for the five weeks ended Oct. 2 rose 2.9 percent to \$357.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Big Lots' sales and revenue update.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Icelanders after French salmon (TheDeal.com) TheDeal.com - SIF hf. plans to buy Labeyrie Group for an enterprise value of  #36;425 million.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Acquisition of Labeyrie Group by SIF hf.Category: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Japan presses Pyongyang on six-party nuclear talks Japan urged North Korea on yesterday to return to six-way talks on the North #39;s nuclear weapons program in a third day of meetings focusing on the fate of missing Japanese citizens kidnapped by Northern spies, Japanese officials said.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Japan-North Korea diplomatic talks and nuclear negotiations.I choose: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Novell launches desktop Linux for enterprises Novell Inc. will begin shipping on Tuesday a desktop version of its open source Linux operating system aimed squarely at enterprise users.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Novell's launch of a desktop Linux operating system for enterprises.I would categorize this article under: Tech.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Alcoa, BHP to sell Integris Metals SAN FRANCISCO (CBS.MW) -- Alcoa Inc. and Australia #39;s BHP Billiton have agreed to sell Integris Metals to Ryerson Tull for \$410 million in cash, plus assumption of \$250 million in debt, the companies said late Tuesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Alcoa and BHP selling Integris Metals to Ryerson Tull.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Google Stock Offering Remains on Track (AP) AP - Google Inc.'s stock market debut appeared to be on track for later this week after the Internet search company asked regulators to give final approval of the paperwork required for the sale.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Google's stock market debut.I choose: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","YUKOS Surrenders to the Allies Yesterday morning YUKOS filed an application in a bankruptcy court in Houston, Texas for restructuring according to American laws.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: YUKOS filing for bankruptcy.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Ogden's Knee Improves; His Status Is Uncertain The Ravens are waiting to see how the knee of tackle Jonathan Ogden improves, and continue to hope that he will play in the season opener.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Jonathan Ogden's injury status and potential return to play.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Networks in a Duel of Technology Some television networks are racing to develop eye-catching score boxes. Fox, for example, now has fire coming out of its baseball scores.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Development of innovative score boxes by television networks.I choose: Sports",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Germany #39;s Volkswagen workers stage warning strikes Workers at Germany #39;s automobile giant Volkswagen (VW) have staged warning strikes in the on-going wage dispute with the management.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Labor dispute and strikes at Volkswagen in Germany.I choose: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Calhoun not fond of loss But Calhoun likes his players and his university and the fact that the Huskies are the defending national champions a lot more. Calhoun was livid with himself and the collective <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is a coach's reaction to a loss, specifically a basketball coach, likely Jim Calhoun from the University of Connecticut Huskies.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Keeping Better Track From Factory to Checkout Using radio scanners to wirelessly identify consumer products is simple in concept but dauntingly complex in reality.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Using radio scanners to track consumer products.I would categorize this article under: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Sun #39;s OpenSolaris Plans Start to Emerge Sun Microsystems on Friday will unveil more of its plans for OpenSolaris, the open-source project for the Solaris operating system.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Sun Microsystems' plans for OpenSolaris, an open-source project for the Solaris operating system.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","FERC faulted for failing to order refunds for California power &lt;b&gt;...&lt;/b&gt; The Federal Energy Regulatory Commission, which has refused to approve California #39;s demand for \$2.8 billion in refunds from power companies found to have gouged the state during the 2000-2001 energy crisis, has been ordered to rethink its position and <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Energy Refunds and Regulation.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",General Mills to Make All Cereals Whole Grain By JOSHUA FREED     MINNEAPOLIS (AP) -- The Trix Rabbit and that Lucky Charms leprechaun are going on a whole-grain diet. General Mills announced Thursday that it will convert all of its breakfast cereals to whole grain...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: General Mills' plan to convert all its breakfast cereals to whole grain.I would categorize this article under: Business.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","China: commercial flights in 20 years BEIJING: China can expect to see the first commercial space flights in 20 years, the head of the country #39;s space program was quoted as saying by state media.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: China's Space Program and Commercial Space Flights.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mystery behind the origin of cosmic rays unraveled: World News: Washington, Nov 4 : An international team of astronomers has suceeded solving the 100 yearl old mystery about the origin of the cosmic rays by producing the first ever image of an astronomical object using high energy gamma rays.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The origin of cosmic rays and the first image of an astronomical object using high energy gamma rays.Category: World",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Once a Palace, Now Saddam Hussein's Prison Saddam Hussein lives in an air-conditioned 10-by-13 foot cell on the grounds of one of his former palaces, tending plants and proclaiming himself Iraq's lawful ruler.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Saddam Hussein's current living conditions and situation.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Uh oh! Franco-American is no more Here's one for nostalgia buffs: the Franco-American brand -- best known for SpaghettiOs -- is no more.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the discontinuation of the Franco-American brand, specifically the SpaghettiOs product.I would categorize this article under: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Ryanair may face Belgian courts Budget airline Ryanair is obliged to be taken to court under EU law if it fails to pay back illegal state aid for flying to Belgium's Charleroi airport.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Ryanair's potential court case over illegal state aid in Belgium.I would categorize this article under: Business.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Conferees Ban Lease of Boeing Tankers  WASHINGTON (Reuters) - House and Senate conferees agreed  late on Thursday to ban the leasing of aerial refueling  aircraft as part of a final deal on a \$422 billion defense  authorization bill, killing a proposed \$23.5 billion Air Force  deal with Boeing Co. &lt;A HREF=""""http://www.investor.reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""""&gt;BA.N&lt;/A&gt;, congressional sources said.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A ban on the leasing of aerial refueling aircraft, specifically a proposed deal between the Air Force and Boeing Co.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Najaf clashes as truce talks fail Fighting resumes in the Iraqi city of Najaf between US troops and Shia militias after an abortive peace bid.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Conflict in Najaf, IraqCategory: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Big surprise by Indian board Calcutta, India - The Indian cricket board made a surprise move on Thursday by granting television production and distribution rights for the upcoming Test series against Australia, even as the Supreme Court was hearing a petition by another network <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Indian cricket board grants TV rights for Test series against Australia.Category: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mets to revamp front office again NEW YORK - The New York Mets are revamping their front office for the second straight offseason, hiring Omar Minaya from the Montreal Expos to become the head of baseball operations.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The New York Mets hiring a new head of baseball operations.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Andre gone with the wind He was finally out of the wicked wind tunnel known as Arthur Ashe Stadium, out of the gale that combined with Roger Federer to blow him from the quarterfinals of the US Open.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Tennis match at the US OpenCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Honor System Used for Flu Shots at U.S. Chain Stores By GRETCHEN PARKER     BALTIMORE (AP) -- At the Walgreens flu shot clinic, the honor system is in place.    If you tell nurses there you have a chronic heart problem, you can get a shot...<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the administration of flu shots at U.S. chain stores, specifically the use of the honor system to determine eligibility.I would categorize this article as: Business.",0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Immelt: Joy At GE As Q3 Earnings Jump 11 The news is often sobering these days. But they #39;re smiling at General Electric (nyse: GE - news - people ), where the company posted third-quarter earnings that are up 11, with revenue rising 15.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: General Electric's Q3 earnings report.I choose: Business.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Syria and Lebanon reject UN  #39;interference #39; Syria and Lebanon have rejected outright a renewed United Nations Security Council call for Damascus to pull its troops out of its tiny neighbour, calling the international body #39;s decision  quot;interference quot;.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: ""Syria and Lebanon's rejection of the UN's call to withdraw Syrian troops from Lebanon""Category: World",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",UN war crime tribunal calls first witness in Milosevic defense &lt;b&gt;...&lt;/b&gt; The International Criminal Tribunal for Former Yugoslavia (ICTY) Tuesday called the first witness in the defense case of former Yugoslav President Slobodan Milosevic <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The trial of Slobodan Milosevic at the International Criminal Tribunal for Former Yugoslavia.I choose: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","MechAssault 2 jacks gold Mech shooter off stomps off to production, and is on schedule for its uncommon December 28 release. Microsoft today announced that MechAssault 2: Lone Wolf has achieved gold status and will be ready to hit Xboxes and light up Xbox Live December 28.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the release of the video game ""MechAssault 2: Lone Wolf"".I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Minister offers apology for touchy remark Minister of Foreign Affairs Mark Chen () yesterday apologized for the words used to condemn a comment by his Singaporean counterpart who warned against Taiwan independence at a United Nations meeting last week.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Diplomatic controversy and apologyCategory: World,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","NASA Develops Robust Artificial Intelligence for Planetary Rovers NASA is planning to add a strong dose of artificial intelligence (AI) to planetary rovers to make them much more self-reliant, capable of making basic decisions during a mission. Scientists are developing very complex AI software that enables a higher level of robotic intelligence.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: NASA's development of artificial intelligence for planetary rovers.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Stem Cell Companies Fall Amid Biotech Rise While most biotechnology stocks rose Wednesday, shares of major stem cell researchers fell sharply as George W. Bush #39;s victory in the presidential election was confirmed.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The impact of the presidential election on stem cell companies' stock performance.Category: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Americans playing it cool in the pool ATHENS  Michael Phelps might receive his last gold medal of the Athens Olympics in a way no one would envision. <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is the Athens Olympics, specifically Michael Phelps.I choose: Sports.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Mac users face rare virus The malware disables Mac OS X's built-in firewall, steals personal information and can destroy data.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: A malware virus affecting Mac computers.I choose: Tech.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Bombs in Buenos Aires Kill One Bombs detonated at three banks in downtown Buenos Aires Wednesday resulting in the death of one security guard and in leaving another person injured.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Bombings in Buenos Aires resulting in casualties.I would categorize this article under: World.,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Indonesia orders security clampdown after terror warnings JAKARTA, Indonesia Indonesia has ordered a nationwide security crackdown after warnings from Australia, Britain and New Zealand that terrorists plan to attack ahead of Christmas.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Terror threat and security measures in Indonesia.Category: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","San Diego Chargers Acquires Wide Out McCardell  SAN DIEGO (Sports Network) - The San Diego Chargers have  acquired wide receiver Keenan McCardell from Tampa Bay in  exchange for two picks in next year's draft. The deal was made  roughly an hour before the NFL's trading deadline on Tuesday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The San Diego Chargers acquiring a new wide receiver, Keenan McCardell.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",England and India aim to buck trends (AFP) AFP - England cannot win a one-day international batting first while India coach John Wright reckons his team are having trouble chasing totals.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Cricket teams' performance in one-day internationals.Category: Sports.,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Hurricane Ivan Threatens Barbados, East Caribbean  MIAMI (Reuters) - Powerful Hurricane Ivan, the latest in a  busy storm season, rushed over the Atlantic Ocean on Monday and  threatened the eastern Caribbean Windward Islands.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Hurricane Ivan threatening the eastern Caribbean.I would categorize this article as: World.",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Henson plays for Cowboys, now will he start? Now Henson is waiting like everyone else to find out if he #39;ll soon be the starting quarterback. Coach Bill Parcells today said starter Vinny Testaverde is questionable because of a sore shoulder and back.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Quarterback situation with the CowboysCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Schwab ex-CEO to get almost \$10M SAN FRANCISCO (CBS.MW) -- Charles Schwab Corp. is paying David Pottruck, ousted as chief executive officer in July, a lump-sum payment of \$6.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Executive Severance PackageCategory: Business",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Software piracy whistle-blowers get bigger rewards The BSA trade group ups its reward for information on U.K. companies that are using illegal software.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Software piracy rewardsCategory: Business,0
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Top-Seed Spadea Advances at Millennium (AP) AP - Top-seeded Vincent Spadea beat qualifier Hugo Armando 6-3, 1-6, 6-4 Friday night to reach the semifinals of the Millennium International Tennis Championships.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Tennis tournament updateCategory: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.",Sri Lanka spinners throttle South Africa Sri Lanka spinners Rangana Herath and Tillakaratne Dilshan shared six wickets to help bowl South Africa out for 191 in the third one-day international on Sunday.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Sri Lanka vs South Africa cricket matchCategory: Sports,1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Gibbs to Look at Offense Coach Joe Gibbs says he thoroughly evaluate the Redskins, particularly an offense that finished among the league's worst, now that the season is over for Washington.<|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: Joe Gibbs' evaluation of the Washington Redskins' offense after the season.Category: Sports",1
"Give the main topic of the news article and then choose from World, Sports, Tech and Business.","Veerappan shot dead Coimbatore: The country #39;s most wanted forest brigand Veerappan, charged with abduction and murder of politicians and film stars, was on Monday night killed in a gunbattle with Tamil Nadu police in a thick forest about 150 km from here, ending three <|start_header_id|>assistant<|end_header_id|>The main topic of the news article is: The death of Veerappan, a notorious forest brigand, in a gunbattle with police.Category: World",1
